IgA plasma	IgG plasma	IgA+IgG+ plasma	IgA-IgG- plasma	Pro-B	Naive B	Memory B	GC B	Cycling GC B	Cycling plasma
AHR	0.188706569137375	0.0579200171085251	0.0165087672983592	0.0258817973992209	0.00819864980348139	0.325569578659282	0.28707866613792	0.0797419921254466	0.0554865054315666	0.00527584953044336
AIRE	0.134309136867213	0.0473803472315384	0.0205803786601202	0.0186208939221054	0.00436164494705893	0.297868504946733	0.262218127007681	0.0445765705789116	0.0183645514169246	0.00159074869763742
ARID3A	0.131431087151511	0.0641622114961768	0.0230914346934769	0.0261496848337003	0.00634289286488487	0.164271846116992	0.17782759131344	0.0255679913383363	0.0110072778771403	0.00923339351686225
ARNT	0.141413418360289	0.0675435337162	0.0311322771213551	0.0265368535730306	0.00362197771908357	0.178184880860487	0.110196099070072	0.0253595794093986	0.0141386566886145	0.00190909045855947
ARNT2	0.180328592616637	0.0594819836788667	0.0250977980658699	0.0286161864806879	0.00840562505574893	0.177849496553116	0.163384505220886	0.0377956962116303	0.0241152415936092	0.00225705446562829
ARNTL	0.138878457078995	0.0459968123765834	0.013543229826331	0.0199950667129882	0.00533492768769273	0.304544060197594	0.261689975034177	0.0478196239651314	0.0298504732621793	0.00285848202453853
ARNTL2	0.232360646025657	0.0567773689100952	0.0328316790293082	0.0416823274580123	0.00484622481259245	0.182571811678091	0.149882786707401	0.0618997874617669	0.0350431174362941	0.00477953718813917
ASCL1	0.165281148442938	0.0624230722102823	0.0211942469199458	0.0244909186261359	0.00553180537319775	0.181362474098237	0.177215206433288	0.0319599412566728	0.0214961514129102	0.00596054250386691
ATF1	0.230541775807803	0.0680593317009378	0.0227908662665142	0.0287701281614584	0.00713833491389548	0.319554039472875	0.268440384016645	0.0675347741310282	0.0466899116877183	0.00438136351806917
ATF2	0.271554952733785	0.0769491957630102	0.0259732231089936	0.0348073182030932	0.0061063445216144	0.2961835794639	0.245386691798313	0.0616425571212392	0.035152633301071	0.00431879079867992
ATF3	0.364262918476857	0.102079198982665	0.0318069055071249	0.0425293514588687	0.00465416357991533	0.242276606933513	0.215225843048156	0.0527504888522461	0.0388666144939089	0.00868357023863586
ATF4	0.330033754518872	0.0940880920135453	0.0297728723223774	0.0389323120641358	0.00504803974263424	0.267129589155948	0.22604559792955	0.0666414614945561	0.0511295240646553	0.00982598525061762
