CD4+ Tn	CD4+ blood-Tcm	CD4+ Temra	CD4+ tissue-Tcm	CD4+ Trm	CD4+ Th17	CD4+ activated T	CD4+ Tfh	CD4+ Treg
AFF4	0.101405993624711	0.0596791723546908	0.0123407955056153	0.122903551759315	0.135730171987897	0.0119811538644041	0.0753896558488036	0.0468314494498764	0.104119306590436
AHCTF1	0.182509708221941	0.172494530382778	0.0278390495802696	0.104577672722207	0.255090309677656	0.0466927711461975	0.161583760823707	0.0713867857599716	0.150822425398485
ARID3A	0.117966815183804	0.112849124673288	0.020395496982049	0.0730490722507044	0.141141450767324	0.0344522751195456	0.103303047615116	0.0657103339107404	0.100116456276377
ARNT	0.161103613060046	0.164642936857151	0.0296379977394414	0.0892164396395368	0.218685402903735	0.0446367220155971	0.134280863553952	0.0626995606865953	0.145209528881425
ARNTL2	0.141131472581933	0.137625303726641	0.0264165428153954	0.0846935859086175	0.172992910560172	0.0371352526393399	0.115932951087434	0.0603586699285804	0.132672458962908
ASCL2	0.0967088387141446	0.075298028323426	0.0201802890171815	0.139599961212694	0.187804184115104	0.0239159464908825	0.100880568447812	0.149461159284105	0.147513606590354
ATF1	0.0965599769763699	0.0624160021153385	0.0145220938816412	0.158496142224835	0.184516160077792	0.00709895694608143	0.068264494981206	0.0301382086601401	0.110573976742873
ATF3	0.158273942762701	0.156730474001731	0.028490630711989	0.105451004078441	0.305776665737167	0.0577173372824891	0.150906188959528	0.0720799943558296	0.154518417111741
ATF4	0.167838245088255	0.160431607489985	0.0287170717159154	0.11963510129151	0.285255349406507	0.053920563090316	0.13854195121196	0.0815106075028792	0.162276018485848
ATF5	0.163116694706954	0.155019497440052	0.0264364520288638	0.100448459339105	0.287238793571562	0.0550853634451592	0.160078441300936	0.0758453006412678	0.156432248328537
ATF7	0.069455575146349	0.0736007831087604	0.016738123800601	0.0551340956875888	0.0899888661526352	0.0243246677503353	0.061138532057019	0.0400534056776877	0.0527853386956951
BACH1	0.0960589077759672	0.093619546069271	0.0272520878604593	0.0922895082579656	0.144640736329542	0.0410604764213167	0.1228000683098	0.0830939850431186	0.231020232145325
BACH2	0.191050132499124	0.169190120863653	0.0283641140185449	0.107288379890396	0.261023826484894	0.0509159080681539	0.156869981104147	0.0796611833141636	0.155013999211081
BATF	0.127928631540285	0.130758850065726	0.0293345911144238	0.105807001244694	0.244616404410408	0.0618192615323836	0.133556964785893	0.100714516129304	0.245682429643719
BATF3	0.0813235305161092	0.046841224058726	0.0330923951967732	0.0465706339691948	0.0853425280122843	0.033267819543095	0.0530856684729437	0.0350312842059797	0.193614904371135
BCL11A	0.192161078275919	0.159869894831614	0.0274969272010219	0.114290841345397	0.261831889257684	0.0482687138589986	0.153675911494639	0.0778781823673242	0.149835250298041
BCL3	0.155442471632624	0.164271348050411	0.030110561137795	0.0918193738325106	0.282501747712056	0.0647056417257188	0.148021781702857	0.0820356622797045	0.17167420679477
BCLAF1	0.180847968244163	0.166002332781946	0.0277635959068253	0.11137562519719	0.269285691918027	0.0500025430016143	0.158251963345504	0.0791419262450416	0.155191380868202
BDP1	0.180672779497762	0.175513811006334	0.028751966803875	0.106934089803915	0.26483244037551	0.0503762393818377	0.152383124998269	0.0782121896226223	0.153910703529657
BHLHE22	0.100543475398421	0.104785675556294	0.0260572859413474	0.0905898651037551	0.161657702050401	0.047814797641152	0.131082920077916	0.129281163020209	0.1625877214957
BPTF	0.179565704832249	0.167927497605927	0.0270152203801612	0.0951635397500508	0.203049066851268	0.0469922293059417	0.139320379887542	0.0777640646602629	0.135841642548394
BRCA1	0.18927797477759	0.177613458077596	0.0284314083301251	0.113737341680444	0.249677508011763	0.048311010233685	0.142738351490793	0.0830201393254487	0.159887907887735
BRF1	0.174643442235257	0.164698020512909	0.0273463742473009	0.111978034056895	0.223376355089157	0.0423219635854337	0.137040207593603	0.0854734995891022	0.147983853190537
BRF2	0.187452896202142	0.153676105536896	0.0252627342945319	0.105233813442091	0.232767627256321	0.0468517499091041	0.157544027994492	0.0892390331759754	0.141918530227262
CBFB	0.046352622742174	0.0424070934610153	0.00873432068840752	0.0282767583529403	0.0566132456396485	0.0201095354724879	0.0372481677363899	0.0278679837830925	0.0412630822790839
CBX7	0.065167063937297	0.0546848294492761	0.0148793885471883	0.0428411349160993	0.0657207291792656	0.0159277554269321	0.045305175384361	0.0296667712679828	0.052971470462075
CDX1	0.113248065413451	0.0906893605361092	0.019443409493326	0.145607151656601	0.250519537843009	0.0259189660919602	0.0821613476379371	0.0432930755378971	0.134416296432941
CDX2	0.0247180494973626	0.0624156941233717	0.0176551986650105	0.0419479165407778	0.161208621172553	0.0439564964650929	0.0231935021562514	0.0295469799271496	0.0721588841602576
CEBPB	0.153820441010514	0.158723005821036	0.0280303885653426	0.112255664886363	0.304948523903827	0.0550518075139493	0.148139235265279	0.0734097470287339	0.147748750167101
CEBPD	0.155391137491959	0.164395412587121	0.0295819753836654	0.101266014177009	0.29885557840735	0.062508226262258	0.147003435454512	0.0754789633896952	0.15824201535172
CEBPG	0.139752783745973	0.159310280575361	0.0308022368750706	0.0914295190873706	0.24294890213801	0.0617234296402214	0.109544816841558	0.067770636704106	0.159403540828909
CEBPZ	0.188288701188795	0.172040520031853	0.0283043165717859	0.117554209767604	0.256208705158915	0.0501545829981322	0.147406892119462	0.0868891719505962	0.153393340405814
CHD2	0.181174681278863	0.165820057504074	0.0282098978310492	0.106202727759258	0.267143364386284	0.0505072281685194	0.163281161298159	0.0804990298566614	0.154284536199626
CLOCK	0.17831199996472	0.164979553454378	0.0389308884345864	0.088000536715405	0.223297299497341	0.0515540885166273	0.145772145312193	0.0625323825512509	0.124242805725248
CNOT3	0.143571384115871	0.125755719348698	0.0231261922375445	0.0985935169753991	0.163584847311444	0.0296945158923745	0.133989210649273	0.075022587525549	0.130186296643734
CREB1	0.191422915994402	0.176272833541025	0.0295640716714418	0.111773532986258	0.252908336841259	0.0524430315853329	0.144186186489801	0.0829503621712063	0.156654171552857
CREB3	0.179526202563671	0.173181579696186	0.02751772282443	0.107315501572477	0.262245365011808	0.0433925121119457	0.149787973257459	0.0734139120054148	0.127045379571957
CREB3L2	0.0725960060684256	0.105347693388791	0.0260279722575745	0.0739300587344948	0.27055447265585	0.0712835443791642	0.0814040521241358	0.0404748430916601	0.185864855781379
CREB5	0.130596491841836	0.110393164485716	0.0233896729123769	0.109217148661045	0.291009300971798	0.0459419568540067	0.169699598023586	0.0703117664897533	0.132042304290444
CREM	0.177606507196811	0.170243860887422	0.0298342405543478	0.110823019368985	0.269714211056577	0.0555080689543658	0.146950869982101	0.0829422542052993	0.160952046536686
CTCF	0.189093758831027	0.182894275491121	0.029756119777873	0.105199730483417	0.251606481682746	0.0499743874750832	0.14891063956011	0.083282564649188	0.156150147671376
CUX1	0.171502307221392	0.122770321176865	0.0195459535783871	0.0727129316708149	0.137482595342255	0.0261612937329944	0.115944539997926	0.0642097042292988	0.0823899954131416
DDIT3	0.113131063422459	0.128745387816326	0.0236848573187871	0.0818329033173762	0.32248622549892	0.0465326549268149	0.172832981272971	0.0569146146878	0.123310872682248
DLX2	0.0245978889780061	0.025339753094499	0.0196860848881814	0.0193595762342239	0.0220120255791146	0.00697396493845504	0.0147815425701876	0.0134450680857573	0.0177260604893086
E2F1	0.183143417875402	0.17963801140997	0.029200815154256	0.116738812470172	0.261611999361211	0.0492283058855411	0.135598036099927	0.0820323928130757	0.159824015912586
E2F2	0.180711283375465	0.204036224534265	0.033397340627525	0.107382597686771	0.260521108402077	0.0525355346400158	0.121586131486388	0.0747591691319947	0.153128102079284
E2F3	0.176528355350745	0.164753342313543	0.0360806826586224	0.114421706667208	0.248261831336894	0.0413185423319995	0.131994614337926	0.0648208076384588	0.163678935429955
E2F4	0.18235798866234	0.179059783571711	0.0305288112540253	0.110764662222871	0.259068196955925	0.0542917359106888	0.138890945689005	0.0861483566397606	0.161822578403172
E2F6	0.16217558457225	0.144954265130083	0.0286776177404929	0.108914215393142	0.220313923858749	0.0471931386820208	0.129475590744648	0.0739005149127502	0.157534472154443
E2F7	0.153551296682516	0.149597528984479	0.0292565506168083	0.124158517549471	0.254532895141236	0.0502282888136442	0.131547900420306	0.080838397228014	0.171624536036126
E2F8	0.117656643670936	0.115287688309098	0.0231014538763528	0.0754287261020297	0.185394268203507	0.0366535638229678	0.131190956367121	0.0545313184422561	0.106820289573005
E4F1	0.158406305142932	0.149304758239962	0.0276164191011842	0.0938903079094885	0.240065225332698	0.0516815974287612	0.148526345847541	0.0887449101189824	0.145777393603031
EGR1	0.143994903625197	0.135754627806464	0.0255712750963778	0.0968610970720778	0.321501103185755	0.0509385496169477	0.167477226038345	0.0665777478683754	0.147654113423787
EGR2	0.125600565174054	0.12171201543589	0.0296874743452249	0.0987097311632276	0.283197072111388	0.0580461649647288	0.16284293621081	0.0996827797151982	0.156607233980701
