CD8+ Tn	CD8+ Tcm	CD8+ Teff	CD8+ Tem	CD8+ Trm	CD8+ IEL	CD8+ Tc17	CD8+ MAIT	CD8+ activated T
AHCTF1	0.157585541374898	0.0894377185226813	0.0973613719192864	0.17843630104053	0.254518134967534	0.18501755312359	0.0439529634985995	0.0650270598723854	0.101712790244211
ARID3A	0.100561341991514	0.0472957947056815	0.076692051262834	0.134008333881732	0.167891933135764	0.159088013808281	0.0342614489878357	0.0497086714618963	0.0686561196017804
ARNT	0.11861051835484	0.064347181984008	0.0709378765834529	0.148550472043481	0.217151773377153	0.166885232126835	0.041430923753103	0.0518768341846466	0.0933563811224337
ARNTL	0.121829728329099	0.0675775781582308	0.0830280728260666	0.171690724562617	0.276880949038867	0.193169932428248	0.0732451342354542	0.0719679144493041	0.0684065415741191
ATF1	0.149741915530471	0.0779620867524015	0.107654196130657	0.18978185186807	0.236935088290644	0.209522349926096	0.0485855004307465	0.0608977208196444	0.0975705502611465
ATF2	0.131739321111713	0.0675353021073443	0.0825860535537404	0.166798930857479	0.275465296884383	0.163886276085663	0.0546085371101696	0.0688303332760642	0.0893113090193987
ATF3	0.140174172877278	0.0746468293911144	0.0866166755775433	0.197150837488422	0.278611917877595	0.207916171792114	0.0519098751508685	0.0660373065854347	0.092050958208426
ATF4	0.149244915149443	0.0730584622557675	0.0834791826920055	0.19296062347717	0.284314026716485	0.205974701704288	0.0490614651703409	0.0631613523295823	0.0888011472866034
ATF5	0.121776492362108	0.0719727124629627	0.0806993624225164	0.163463033794406	0.237365698746756	0.133123214360309	0.0617666477943035	0.0825587693838959	0.0883168705255498
ATF6	0.121794445613763	0.051840070353919	0.0645377335068307	0.162949613121436	0.215833129874304	0.20309758872222	0.0457010368631394	0.0419767024019752	0.0815735821399475
ATF6B	0.137484790636604	0.0614727857568392	0.078761433501999	0.140118413727845	0.19272767124352	0.236328667307934	0.0503207463778916	0.0470516323805026	0.0800094296221447
ATF7	0.081200652869021	0.0409465677573551	0.0520438863616086	0.0900311680282335	0.114640526520522	0.0913454974042082	0.0248338752791798	0.0347546687107554	0.0471125497913172
BACH1	0.107440181718513	0.0620083157203923	0.0711821413337832	0.19479042898443	0.28699895648425	0.194341892386773	0.0609877770450822	0.0569380175964375	0.102143961593063
BACH2	0.170891394419902	0.0831752928582957	0.0908999303957398	0.19043952881895	0.256186468592489	0.201493245382343	0.0462925249309305	0.0645062670836031	0.100408221473605
BATF	0.130064351798544	0.0736101265722837	0.0925848921629608	0.207064775107676	0.267031978693974	0.213738848110029	0.0601198499370911	0.0640906879094226	0.0862302996531554
BATF3	0.148130513194967	0.0751183179482322	0.0952325216025446	0.186388599120955	0.250723618107242	0.197830672377505	0.0535271588059305	0.063967994911357	0.0809395035218805
BCL11A	0.049613117212945	0.0181941609150779	0.0252823157782688	0.0351202079450584	0.0282876273521921	0.0533353552204026	0.00915752207811815	0.0605892976894019	0.0782760006365782
BCL3	0.125849161838364	0.0770595609755256	0.0836885845484908	0.20208139701189	0.272468284057473	0.196020017419865	0.050380812454606	0.0722392465521847	0.103671273810672
BCL6	0.10383991265015	0.0384056840919709	0.0565708449998638	0.133512846007109	0.187243248569751	0.0788026940372772	0.0220864130764175	0.0352539121635043	0.0606784221139646
BCLAF1	0.155032612046385	0.07924696419979	0.0906932138274054	0.191626342083625	0.267233459611492	0.206429644774164	0.0477543473381085	0.0634309858333656	0.0988330751442227
BDP1	0.155018230451746	0.0821366201056024	0.0967120214003114	0.189460863472266	0.25537202593258	0.208724892219351	0.0484451316736123	0.0635828165527172	0.0995146679619522
BHLHE40	0.14645830173013	0.0777800576278999	0.0935648498879568	0.196980872689471	0.267730846727045	0.208064363545543	0.0520608251523113	0.066791204738554	0.0934613838942687
BHLHE41	0.115990080871816	0.0569389829530337	0.0822500229219584	0.15268886137478	0.208561394999468	0.168008089087254	0.0324399369257778	0.044266407740261	0.0784458013931544
BPTF	0.13868580115076	0.0805882918123674	0.0938418365266142	0.174146402292705	0.210611615400975	0.211000522612155	0.0460506095300002	0.0606939653415561	0.0986085834929404
BRCA1	0.149096063170561	0.0723891593543224	0.092057370010921	0.187977940941619	0.254419405140446	0.214979431869766	0.0495404571339724	0.0630191252340284	0.0919938383509152
BRF1	0.155782709193981	0.072635623235641	0.0920840743924027	0.184450587058727	0.261763530605295	0.190429056971979	0.0417283111907343	0.0604590427420356	0.0983406197142999
BRF2	0.115776942668651	0.0466739817149937	0.0693285876345195	0.147693241508983	0.195330370766426	0.111015590658671	0.0261035946425955	0.0463141620752449	0.0710502767849343
CD59	0.159304680768301	0.0834248656648006	0.0931253465302949	0.189843340668993	0.247902679595494	0.196737819339022	0.0632006771119568	0.0718349775259877	0.0870947056099159
CDX1	0.113517425566238	0.0573079818802074	0.077802211529462	0.144403913708348	0.202644200465709	0.172108791841372	0.0318146879334471	0.0485344178514194	0.0572584734711417
CDX2	0.0173910880892908	0.00346339013693719	0.00494496681657719	0.0140924506482719	0.0173040475140402	0.0458816315316551	0.0122562394546772	0.00332171007262727	0.00755139534824023
CEBPA	0.122434007138071	0.0584481516731282	0.0834292247184417	0.174391934309533	0.230304977415371	0.133294593839378	0.0385837305790009	0.0457240336498188	0.0740820137645469
CEBPB	0.150372659108389	0.0818843554242529	0.0903300411600526	0.190548766878766	0.27532740433451	0.20576224475988	0.0448465535404721	0.06422961796296	0.0926661088796121
CEBPD	0.128437181698146	0.0735822324227343	0.0921244870453571	0.195178314594895	0.271089012781639	0.217181146196908	0.0535362214944575	0.0694595832990721	0.0933027036210122
CEBPG	0.057685088835709	0.0316269001091767	0.0520489923784675	0.0960252259949317	0.142016377808408	0.103935652298385	0.0247893112769155	0.0332366924437245	0.0604358402752246
CEBPZ	0.153090568523242	0.0790833331687698	0.0894499020785614	0.189942550449818	0.263396191689978	0.215094304490311	0.0495607424664091	0.0641351133390176	0.0952922359674202
CHD2	0.157927414299655	0.0800041814975266	0.0875502004506763	0.190727293312771	0.26735738411716	0.201624885230063	0.0468414000094456	0.0630214777205298	0.102918014000355
CNOT3	0.107038699916185	0.0606459275073883	0.0967531288050404	0.125270490077594	0.155428560131336	0.145532794130178	0.0334087799834532	0.0436073832366867	0.0681837902357555
CNOT6	0.0494590747933091	0.0442047543461519	0.0865055011006429	0.0636215298120202	0.0661375350808671	0.0381015418619798	0.0276011611088313	0.0334676459386396	0.0343763991776053
CREB1	0.164569669136817	0.0815290859165045	0.10618225600771	0.192716945109771	0.231562850639893	0.206724270017644	0.0459516623106273	0.0625805826149513	0.0983745178472548
CREB3	0.126763277975906	0.079742874261476	0.122137019430512	0.164836365317656	0.204673206055525	0.168807569465687	0.0473410633247001	0.0661459201694581	0.0860324977697586
CREB3L2	0.138605086965101	0.0703213598263902	0.0865605374535834	0.1858994520746	0.262475870483376	0.222361645012151	0.0527426638723993	0.0630597359574502	0.0920970358091384
CREB5	0.160746536491769	0.0765548034283623	0.0777411383164667	0.210905332963115	0.263745037756412	0.16151566189369	0.0401078487741849	0.0563478149508548	0.083704066997908
CREM	0.14987704954542	0.0771275007098451	0.090264665080998	0.196205715309275	0.266170112251554	0.211011239096099	0.0508169187527181	0.0647364014190623	0.0953499401784937
CTCF	0.162947545077645	0.0884528594634052	0.10311262510016	0.181874868243062	0.247022199055014	0.208134762230556	0.0437649631210957	0.0625991153829233	0.0966848041438042
CTNNB1	0.0504635349539797	0.027854606128938	0.0299210898647625	0.054027408872502	0.0694571897287403	0.0950409706820181	0.0335165829390047	0.0258039107993949	0.0394042010401192
CUX1	0.17855144825909	0.0850542126934449	0.0834694109972043	0.166224534688845	0.223635246313504	0.16956857067781	0.03639924466537	0.0557384768922263	0.125425615902495
DBP	0.147934026362171	0.0831281635741339	0.0922424785950934	0.186296594567897	0.274159633360882	0.190360540711589	0.0436767678450809	0.0647795910838502	0.0940443002979235
E2F1	0.152505630456063	0.0757603344752789	0.0970978993215993	0.191589802849222	0.255183977471008	0.224134092168026	0.0484839925820054	0.0616286435051667	0.0916313768414686
E2F2	0.15743746694681	0.0799588624631717	0.101471523676857	0.182111597777974	0.239269322226649	0.215647525688791	0.0466030627655367	0.0628236057695459	0.0954485915090593
E2F3	0.128208716352512	0.0675411101329449	0.0636443203777655	0.230833677249258	0.271851667429049	0.125635639693139	0.0194485249136511	0.054172762768445	0.0866923257853645
E2F4	0.150721688619672	0.0818062970263864	0.109977649471732	0.188634805586228	0.244529912768341	0.221584084856545	0.0480079428465622	0.0644901803847899	0.0902953546347876
E2F5	0.0894932288567108	0.0638141772049733	0.0662343954124636	0.0939292948333896	0.167764752415053	0.195820520909211	0.029910697309447	0.0376346156864183	0.0659725170051628
E2F6	0.144305586106168	0.077229836952446	0.100680341691304	0.201554950107965	0.246823824723639	0.219763125499465	0.0515929050239338	0.0653070483655687	0.0888657607753182
E2F7	0.134084166323662	0.0743025388477536	0.0964958716267544	0.184691980780752	0.254966057446559	0.223153692793431	0.051383971244261	0.0564274730149711	0.0916313763117756
E4F1	0.106043955448308	0.0516518062024449	0.0999742175939508	0.223835606664935	0.249823720052987	0.184613685876387	0.0436377475929012	0.0537123743906651	0.0886023204564497
EGR1	0.132387081898934	0.0734175936264516	0.0739141162644534	0.19445036064411	0.299727234075741	0.187832091488566	0.0455802423324971	0.06669701135976	0.0940550761460811
EGR2	0.103865004555763	0.0628616463098037	0.0661307105421743	0.198342320216675	0.307730597699031	0.180059882488825	0.0595905025880445	0.0657289672407555	0.093833328935528
EGR3	0.104527995443408	0.0520509291616239	0.0446178492469128	0.183852694725723	0.30924173532147	0.15123953081642	0.0463558765296793	0.0604934109854374	0.103752913175768
EGR4	0.120085606695648	0.0601022306326748	0.0698002384758022	0.187145633720245	0.314151140366172	0.148021823397089	0.0379329968406497	0.0626186277740153	0.0888160345542715
ELF1	0.151343065636277	0.0775204191471297	0.0902641409436001	0.19491092559372	0.266898778547735	0.211205693669983	0.0493180219453123	0.0636776542923095	0.0964219488716356
ELF2	0.164293312429239	0.0860944504721144	0.0970121154356128	0.186143428905346	0.247832848054863	0.205499569192788	0.0460752919223477	0.0643412755791714	0.103059249184049
ELF4	0.136655323591501	0.07522036472897	0.100957673090904	0.186501214574488	0.247146321380037	0.224196835833703	0.0493941670568835	0.0612953680955927	0.0957053551156106
ELK1	0.139497117292896	0.0764717886494903	0.101055647180226	0.198251501236995	0.239713381310673	0.221875144169578	0.057151110104719	0.0656774566419042	0.0927922670645457
ELK3	0.145102912738888	0.0814873725498684	0.0931002808775064	0.156962406475884	0.253320578952367	0.211189226103263	0.0691135526967565	0.0800244977425292	0.0742463349625827
ELK4	0.159515338510882	0.0771611497868193	0.0909544739925208	0.187906072588805	0.248389959917237	0.220388268472695	0.0490858593958567	0.0596852887527841	0.0957350106907118
EOMES	0.107459393278951	0.071769771137753	0.116686887045629	0.269853129222142	0.22669240604297	0.183617831132434	0.0448278563340061	0.0732369083827824	0.0867545376825393
EP300	0.135056764671192	0.078345226752035	0.0950525301731011	0.191021054701691	0.24232575728695	0.211171588082062	0.0507589704327712	0.0616035127740522	0.100312812878442
ERF	0.0933799437617161	0.0495094604639726	0.0513724529291668	0.0898270416430441	0.121889062407686	0.106052875021531	0.026307356546211	0.0413683791484419	0.0617591629133235
ESR2	0.0531085598181762	0.031695114319133	0.0510716688183074	0.102993566353026	0.119656715967874	0.149025928075438	0.0460560513346187	0.0225998931317914	0.0275985327261842
ESRRA	0.149989981198273	0.0742241034827663	0.0913812643775893	0.18455456112692	0.25292869564657	0.237301220589449	0.0498787313534123	0.0583569093906385	0.0858341161799435
ETS1	0.162303602007175	0.0820169532456063	0.0942562387507617	0.190767505981061	0.257310615352485	0.211839505478252	0.0468842297854595	0.0638272373937401	0.0953226467523925
ETS2	0.14815096671296	0.0744409395510793	0.100004557170365	0.190833418871156	0.250136779418214	0.197272087452407	0.0443229997373623	0.058994320903422	0.0881993733849844
ETV1	0.10825658092097	0.0727219369582368	0.0688280500445655	0.295764945357807	0.18990025649156	0.143674418924835	0.0485533608739647	0.0656935385177922	0.0715849199815065
ETV2	0.124593475741246	0.0589752683841305	0.0645101374471764	0.145652040447236	0.2257125737899	0.141824147828091	0.0286848760156798	0.0446815012259772	0.0780422596800445
ETV3	0.143040906399697	0.0762077876571654	0.0817590154297997	0.189137482318832	0.287782282300262	0.184752790536138	0.0467541489151014	0.0656346879064561	0.0998881960535002
ETV5	0.0942399696966989	0.0617500566338706	0.0622391598893635	0.0964801904111084	0.160296603163581	0.146739459728681	0.0347211491703319	0.0399193730522693	0.0582741404593873
ETV6	0.149363246504929	0.0905535493861986	0.104922071802351	0.188579687287447	0.232212310694376	0.186995044254238	0.0427497573676304	0.0619224965769875	0.0915762812186259
ETV7	0.142389578324528	0.0748237953619408	0.0951101895675595	0.192741476732683	0.260682375736709	0.211340445324316	0.0638783848445117	0.0682021482979059	0.0896931657541304
FLI1	0.164780693198079	0.0864659023310139	0.102200101319492	0.185845254960363	0.244961955482604	0.213579221725356	0.0465372502099739	0.0668222870171153	0.0980631558532932
FOS	0.151132841153495	0.0791522337899101	0.0876984125506438	0.194249255565779	0.274922341053739	0.202007444201247	0.0478035222156808	0.0656510646015424	0.0959767296465796
FOSB	0.143323378146797	0.0759074370077498	0.0860342986910867	0.196422788852746	0.27820616780774	0.204017108831634	0.0502226041709508	0.0653256474144065	0.0959422809905418
