Adult arterial capillary	Adult venous EC (SELE+)	Adult venous EC (C7+)	Adult arterial EC	Cycling EC	Fetal arterial EC	Fetal venous capillary	LEC
ARID3A	0.0927162106994875	0.0438177063861832	0.0382946675161377	0.0355606639568052	0.0948757374417178	0.171331746170374	0.307877033615783	0.030702809260942
ASCL2	0.0396470335182898	0.0299982900778254	0.0264538522447216	0.0219739251516677	0.0071599791349255	0.0176086427026393	0.0389222763452488	0.0492409626127086
ATF2	0.268619334945419	0.181112260274417	0.0990182769188074	0.0733201473600974	0.0438398738420198	0.11402512607619	0.21313444398801	0.126077585655029
ATF3	0.305454856979862	0.204179225488342	0.0721193078818082	0.058553374172402	0.0612593743817336	0.125995282753171	0.221488282165973	0.106083893550364
ATF4	0.305056013344765	0.227363676668166	0.0612336398065825	0.0352192246946028	0.0524145789763861	0.0714736904824392	0.162013963061864	0.0382075520134458
ATF6	0.264491101105355	0.154166095115382	0.0999941161164528	0.0986254197390131	0.0233365613395921	0.073334706865942	0.134023128897025	0.160362459778655
ATF6B	0.0242456876957304	0.0206947650086194	0.0239577770644964	0.0149856574217666	0.00394436327218628	0.0168789077988901	0.0244289491042867	0.0215028964438877
ATOH7	0.189201669481894	0.112692032912304	0.0604956604764068	0.0923873093092922	0.0277895127936294	0.150461472827679	0.139405800232421	0.0675438329410168
ATOH8	0.406787069397985	0.135488365396955	0.0855537096508179	0.0921064646183938	0.0360935036047135	0.0864915043515724	0.107826961484244	0.0221345955254557
BACH1	0.207135075152805	0.175453320432321	0.0906279646182229	0.0541904795761751	0.0349479709943312	0.0708438391220249	0.186460466837203	0.237096469059692
BATF	0.281596874771141	0.271341510552419	0.0950561608537203	0.0492426003027359	0.0422118184690263	0.0603021670055353	0.184481483292061	0.116014701103153
BATF3	0.267631080518203	0.176043824914527	0.0881470743934827	0.0606584862174352	0.0533371294428082	0.0973839680124129	0.218904152006846	0.106007738304224
BCL11A	0.283102344962273	0.163857312417057	0.0742415231935539	0.0482883075078424	0.0456655557016485	0.0980128853539772	0.164658386931013	0.152975311157895
BCL3	0.308730505121258	0.232350593626688	0.101070322931268	0.0675630179489726	0.0454986540041413	0.0975024652790587	0.191458789756754	0.106886572371166
BCL6	0.175121819379918	0.125439146219633	0.0737627641390292	0.0375020104643217	0.0132230330296473	0.0322844900439654	0.07135672003378	0.0719368214880364
BCL6B	0.252246836567885	0.14883844178361	0.0313869831781454	0.027413420468669	0.0696997657350038	0.161605108744837	0.208413200922704	0.0825998179074938
BCLAF1	0.30196705917773	0.193560967437659	0.0848949902022994	0.0642227466947627	0.0553089504906134	0.117665192325511	0.219738528341622	0.116481305701684
BHLHE22	0.0474354308170128	0.0242225334679239	0.0162377153576708	0.0358079368411662	0.00458928405787329	0.0106014388173127	0.0154291934680415	0.0333817301714497
BHLHE40	0.326509233487904	0.213101382331942	0.0847573069526839	0.0665939835810877	0.0493211923128087	0.110302941028737	0.194088001047191	0.110532153155686
BHLHE41	0.0678063322706456	0.0638796959926342	0.0671791737698428	0.0350052822401217	0.0094947400270321	0.0322109260981623	0.0610513232080819	0.0967107682655425
BRCA1	0.295887276777343	0.194683122651083	0.0777200823413084	0.054859968207994	0.0988067165820656	0.107615281409288	0.214156544257214	0.116010241288
BRF1	0.177136127947043	0.0881675553007122	0.0543883096881462	0.0886722789183836	0.0398979782468488	0.167380892550691	0.182680775396976	0.130189448114229
BRF2	0.313086274581267	0.187774537003048	0.0716354150422203	0.0549262953971827	0.0659738979634983	0.106644300882353	0.194339688532721	0.119480889517818
CDX1	0.0549593136796718	0.0389694027310884	0.0562792962123329	0.0853342610665727	0.0133718502588599	0.0466149815878355	0.0566616114878853	0.0371826134205532
CEBPA	0.172463628423042	0.127743085517535	0.131226910506026	0.106448262547593	0.0237377902842423	0.074612576934604	0.121560025199962	0.13877903776166
CEBPB	0.301778017758162	0.214899466362414	0.0735133690818826	0.062497588842558	0.0535173526687165	0.121471297522784	0.209889234034222	0.108363744906375
CEBPD	0.284799070214381	0.209856295899404	0.0944381150860872	0.0654168132220865	0.0528700442553754	0.105594470947503	0.209211299699256	0.144055579341404
CEBPZ	0.314013365135328	0.190669175457281	0.103361487666432	0.0779506149042565	0.0501460053540118	0.0976134969728323	0.19555776466073	0.125847344479489
CHD2	0.296709509553207	0.175174167119979	0.104536448727697	0.0782464398515405	0.0446033541050697	0.100626548195243	0.202626734625085	0.126031767259537
CLOCK	0.215600853684083	0.0893979351770346	0.0584456033382494	0.0650981124383991	0.0232496620465197	0.113220506110438	0.1231552014438	0.0705679764527279
CREB1	0.280208146676465	0.17869125508889	0.103641834386598	0.0728720890871379	0.0434279155671203	0.103808109785724	0.209916380609854	0.130713388158812
CREB3	0.314579761703864	0.260623628355842	0.0801088064751631	0.0570320653333105	0.046974035417946	0.0784281330244786	0.169198637881104	0.117394406829267
CREB3L1	0.28032134737858	0.165482211931562	0.0549589769837063	0.0362623404032326	0.0713636759696932	0.171364911530962	0.264225509158765	0.0722853455973442
CREB3L2	0.346945752140048	0.211874215988514	0.0802124792190664	0.058010335808932	0.0482550708935992	0.0941849743008277	0.191539579363869	0.0926726625876566
