Goblet	Tuft	Paneth	M-like cell	Enteroendocrine	BEST4+ epithelial	DUOX2+ epithelial	Pediatric colonocyte	Adult colonocyte	Enterocyte	TA	Cycling TA	Fetal progenitor	Fetal cycling TA	Fetal colonocyte	Fetal enterocyte
AR	0.0515024725603903	0.045843063839561	0.0105634835129912	0.00404151608144487	0.0294475036706368	0.0626509175457041	0.0141900146884186	0.0630779956054202	0.0352983285452453	0.0198904046770615	0.0626850427418882	0.0109553276677479	0.0239599832899754	0.00588680525792595	0.0227275854185754	0.0297341678093098
ARNT2	0.0112658913786639	0.388033066246103	0.0132710224096108	0.0211245975199759	0.0335420885248799	0.00627336169155479	0.00435378811781673	0.0135035361429497	0.00234950903429942	0.00528394471306581	0.0163869298047534	0.00380701053590082	0.00583772383351355	0.00135283033496725	0.00174540644918397	0.00338157624539115
ARX	0.12985223267209	0.0682359747325924	0.0126870372015669	0.0024513531976591	0.086910515357846	0.0411972362497677	0.0273761931609047	0.116608824333	0.0802427781222422	0.0406809348554052	0.253409658234989	0.0567649679493047	0.0955230776106091	0.0367555732570732	0.0806868565434096	0.110539196418811
ATF1	0.0632769730522343	0.0340412249581945	0.00732718898013185	0.00194826613106669	0.0274682252196848	0.028248595671991	0.0158099430203861	0.0620766755939642	0.0387315077427655	0.0221731571417271	0.127731821844848	0.0785509750573924	0.0865979577321889	0.0795083588166834	0.0301038436708597	0.0421605756391007
ATF2	0.129327190208357	0.0270161480626784	0.00661406172835155	0.00335489289249724	0.035264741989638	0.0472503029936306	0.04621730622996	0.060963226219113	0.135969213985433	0.0503572603230521	0.311524964714425	0.0964456780545213	0.118337869848526	0.0488162233028007	0.0640162005328697	0.0778597541353974
ATF3	0.133807928807468	0.0292415115497283	0.0087462669589875	0.00323940136204204	0.030243784768916	0.0479456693699689	0.0476483861224025	0.0791726786922855	0.114190709559376	0.0564735151875444	0.298722403764001	0.102761436407623	0.120850879015385	0.0529073453988699	0.0746941996205847	0.105130112883342
ATF4	0.133669383011445	0.0314076067371508	0.0092011799731212	0.00310801910609459	0.0294745560389773	0.0468362330365076	0.0456591898547855	0.0855109102860285	0.111426366002566	0.0571625784032433	0.30251297786933	0.0994866975825311	0.120105092836434	0.0525345447442365	0.0722857340857149	0.10320658766757
ATF6	0.176207187426358	0.0231025599669487	0.0143294944779759	0.00295762315792636	0.0260312809341453	0.023207756040916	0.0580774241440599	0.0662328038329882	0.0746394927896253	0.0687767773124108	0.265008776760402	0.105743531568368	0.0774269004464255	0.0317248803188014	0.0421816370522117	0.0664965285541584
ATOH1	0.227628071677062	0.0438129291106966	0.0141989707093237	0.00270762520837953	0.0309283611925345	0.044870533988523	0.0434406069069273	0.0884474730410689	0.102528910735513	0.0493347694549419	0.261704414387764	0.0910483205435638	0.0963520408155222	0.0370863006963523	0.0644218519499596	0.0822243910454251
ATOH7	0.0413974930820019	0.0400891799998847	0.0123524809577576	0.0011653017948553	0.0221825807033428	0.0206364859991675	0.0164801424949593	0.0577663618706197	0.0259620407814203	0.0232230672149979	0.0803821426993588	0.0129629221093278	0.0424278052651742	0.0118148694183822	0.0172598765979404	0.0347558842161965
BACH1	0.123042865075412	0.0477870095214142	0.00916980983607885	0.00302264575681654	0.0256914373664821	0.051987149400166	0.0558776562959322	0.113104924967836	0.154889867669046	0.0725540623713137	0.23692697157262	0.0429651433128583	0.081136079899864	0.0270720033207524	0.0678370134178929	0.149924442239376
BATF	0.0514228512175595	0.0455796085121996	0.0163944026868076	0.0154178874110632	0.011778038792155	0.017911574540333	0.0267265125837246	0.103949424365685	0.0382104901659802	0.0191179534565769	0.0325278567928154	0.00659342242532279	0.00933434577898451	0.00219875288055205	0.00582452079733342	0.0167828574435352
BCL11A	0.0764135448770024	0.0676164231860359	0.0131418319866103	0.00121033193880482	0.0424307950952534	0.0240854405784878	0.0111462979433655	0.104917440912998	0.0351930540526881	0.0342860849496575	0.210919235329432	0.0201626677654474	0.109531053038075	0.0305957029672961	0.0524333720238456	0.0589755108287904
BCL3	0.143322414094382	0.0389312877142418	0.0100683486713696	0.00413655942740876	0.0224499990967613	0.0501235789911287	0.0564721771402649	0.122220761489477	0.137374573745993	0.0626433113373193	0.283643019029215	0.0852924524440883	0.0851505662396809	0.0337344268422627	0.0647318596143421	0.0951965620736789
BCL6	0.0966241594637707	0.0333706741122454	0.0110075400109594	0.00322278696519063	0.023147672267392	0.0694926969515968	0.0678909367546782	0.103185270514286	0.144987768566467	0.0300959556304642	0.278039236523242	0.0500004183661815	0.0619587807622023	0.0239580120790023	0.0281312117999687	0.0339501753121184
BCLAF1	0.126532372971804	0.0410189887478569	0.00964077548624043	0.00284134656002411	0.0309770612242269	0.0424876863244017	0.0378993253253261	0.085567130553948	0.0899714140988931	0.0533536523145088	0.31764833757435	0.0961073739475519	0.135414950556659	0.058254746038729	0.0650459016976698	0.100141563957885
BHLHE40	0.126107583214036	0.027983476190937	0.00815566456694239	0.00325631943637839	0.027352771429032	0.048526125199562	0.0487455983941451	0.0713221887839772	0.124734942081871	0.0636895654527316	0.283471513630988	0.0939827666008043	0.124826432577567	0.0512297898757647	0.0717548364450056	0.134504880021923
BHLHE41	0.121808763488296	0.0293166709175283	0.0069836125930004	0.00445928587105315	0.0231766461908557	0.0546257241725444	0.061920034898142	0.0713405264036385	0.176739648117547	0.0661398681453981	0.272679246830202	0.0751149324008641	0.0945874625830813	0.032036386174439	0.0548294254420412	0.141983348695372
BPTF	0.108014251080637	0.0832317263704567	0.0124486282001034	0.00213056175411841	0.041787133465949	0.0410775421767089	0.0238141137982193	0.121082615011256	0.0663317092127517	0.0478727418053644	0.262972063411406	0.0454831437170767	0.130431056913487	0.049628359713465	0.0646412559283398	0.0984743242748993
BRCA1	0.116513097518548	0.0374070284620295	0.00902857646250987	0.00231199355470513	0.0291500210095705	0.03847216937108	0.0304335760338809	0.0914208214163958	0.0796128380553927	0.046763816375472	0.30791399991775	0.126877085363565	0.143467022397988	0.078719925034752	0.0599616584152325	0.0838832717902671
BRF1	0.0838619279634816	0.0566949921272937	0.010749160149141	0.00173777364306504	0.0161857524174547	0.0469238161061482	0.0192746435278364	0.162029628647688	0.0796874569888347	0.0227765651205027	0.197096986400955	0.018710806275467	0.0325024457048028	0.00909735270617995	0.0165614848002116	0.0418486051299074
CBFB	0.00717102060737351	0.00150770265969347	0.00156954838442391	0	0	0.00123335218639464	0.000246276873221429	0.0212696702083693	0.000418532431881169	1.77635683940025e-15	0.00192178284703615	0.000293596353210357	0.00091045411911217	0.000837034152334049	0.00230370475859865	0.00178079097836004
CCNT2	0.0508801338539713	0.00723627115632697	0.0101840177144333	0	0.0676800027924249	0.0103955922896007	0.0155822389673108	0.00587168520861803	0.00624606389059024	0.00247120464656359	0.00440422182085687	0.00193471362989583	0.00813750721791684	0.00251685454339989	0.00352768126329583	0.00333995053296088
CD59	0.135840113801973	0.0229245192077582	0.0064879939304866	0.00457054331431772	0.0200320794785891	0.0567474424707007	0.0754271766880513	0.0685148161196669	0.185962925290194	0.0621545255348196	0.300666191479124	0.107451306244814	0.0700166415939052	0.0276720787012513	0.0464971450647861	0.0768698439111253
