NCR- ILC3	NCR+ ILC3	CD16+ NK	CD56+ SELL_high NK	CD56+ SELL_low NK
AHCTF1	0.054312692508697	0.290257359496721	0.314270982246945	0.0671641374961353	0.232601339558761
AHR	0.0511323611437479	0.273738798533238	0.367815865433707	0.0800860932649199	0.252919095846459
AKR1A1	0.0206013404640076	0.0412902873416675	0.0885372258282825	0.0343719556053262	0.066563191177285
ARID3A	0.057509752609733	0.177075077658249	0.168842993138062	0.0396513642875278	0.140753686709905
ARNT	0.0482485035698421	0.180299965185313	0.285503611961636	0.0762119254044409	0.199789329524331
ARNTL2	0.0278082701901161	0.240202947762761	0.263195280933	0.0557322778167371	0.19140887045103
ASCL2	0.00934856047749288	0.0277353019640917	0.5730714197579	0.0578223189894422	0.196508235293786
ATF1	0.0495706840306955	0.238427678220902	0.398367116955933	0.0771239026077198	0.253412383417633
ATF2	0.0339747024508428	0.169365691427263	0.224184544147028	0.0595041763399407	0.197829459273821
ATF3	0.0492198272727185	0.288082517420266	0.345085424735238	0.0699228288237392	0.272356852714793
ATF4	0.0497116211121996	0.278485687707598	0.348137495878148	0.0764534928770064	0.274083148669932
ATF6	0.0470895588399964	0.173125196580806	0.29907322845644	0.0650417287922783	0.185241764848091
ATF6B	0.0169626292163684	0.0239831887982684	0.0166216690594813	0.0107395816754881	0.0192034141001705
BACH1	0.0370252236595667	0.0703677255065289	0.092627659103478	0.0242570440433539	0.0638119181527792
BATF3	0.0177200988885035	0.0565308862496244	0.122673927095434	0.0119611194016443	0.0421878564735776
BCL11A	0.0478361995599534	0.246782141381203	0.313217808356467	0.0744418963552727	0.209281686007585
BCL3	0.0425884215844049	0.256018825097441	0.343394172912133	0.0724345193773721	0.296655559542516
BCLAF1	0.0492253633021104	0.251585039044251	0.387948313912839	0.0776461793770749	0.259026803288359
BDP1	0.0509349181486637	0.246471054853577	0.396626552853099	0.0756362653203179	0.244292156157179
BHLHE40	0.0495800825565746	0.27441017729053	0.365115582018489	0.0761884260227715	0.262794429404726
BPTF	0.048431244976666	0.225561046748234	0.321444331443189	0.0719222531115272	0.205937321047471
BRCA1	0.0470253836061653	0.233091610557011	0.397028027375702	0.0752583541904475	0.263080646318852
BRF1	0.0444436575073041	0.233802753816498	0.392702020341838	0.0771251894957367	0.268129232058928
BRF2	0.0436163396242719	0.181298409226172	0.438087398487483	0.0764090214286673	0.243831818773405
CD59	0.0159867428511041	0.363169951448423	0.0464835037707684	0.0298740548181726	0.143737794313848
CDX2	0.0746296452555494	0.156697125097966	0.104311090944306	0.0292030097385885	0.156332038200186
CEBPA	0.0366556799059872	0.164508441391051	0.27088250101869	0.0506448013410605	0.158413881817805
CEBPB	0.0352828003495105	0.171552618430628	0.482844138698819	0.0722908218566969	0.226582414462746
CEBPD	0.0466323438590359	0.233745547153364	0.376283197324215	0.0734058053062046	0.289707151594365
CEBPG	0.0383492877834755	0.216026683415775	0.403466467497912	0.0775431760346734	0.232489136302702
CEBPZ	0.0521975744577763	0.252522565871454	0.384993173294602	0.0769744526971126	0.258370808345623
CERS4	0.0360897854115156	0.124894318263099	0.212782798361706	0.050566384347536	0.156755034208289
CERS5	0.0398755392225372	0.198300605699882	0.270285463441783	0.062827638260622	0.181390239264753
CHD2	0.0519317299890595	0.270026898533466	0.364716806074609	0.0743567666669418	0.262998984814038
CNOT3	0.0753308253475954	0.220660104561549	0.215370956776927	0.054421544029896	0.15275025287287
