Fetal stromal 1	Stromal 1	Fetal stromal 2	Stromal 2	Stromal 3	Transitional stromal	FDC	mLTo	Inflammatory fibroblast	Reticular fibroblast	Cycling stromal	Myofibroblast 1	Myofibroblast 2	SMC 1	SMC 2	Cycling SMC	Immature pericyte	Mature pericyte	Mesoderm 1	Mesoderm 2	Mesothelium
AHR	0.0772727978503134	0.285980144073325	0.0503276427945014	0.0560825143000262	0.0563674578611778	0.0697428026996425	0.0049376887704331	0.00897336457093523	0.0432417182818263	0.0297580416721507	0.0342913697741414	0.0328988208073461	0.0227349216986712	0.0149333581126539	0.00677548504620429	0.00243187116704457	0.1089769019493	0.0203682798377216	0.027690101708908	0.0958284799117838	0.0114218051095174
ARNT	0.0874467579180258	0.270509753146846	0.117014983408234	0.0424549731261805	0.0350686528725245	0.093706900595492	0.00128740426192164	0.00184847911192365	0.0124363447202399	0.0089033821886243	0.0250141439393935	0.0162561519477288	0.0285388885793636	0.0202620837759271	0.00755546739740487	0.0020563803761654	0.0394257949944536	0.00931924301384324	0.0271301132423397	0.0474590620545222	0.00552667147510244
ARNTL	0.0746945872854646	0.25042319333728	0.0602110021115645	0.120440771118948	0.0969109853914424	0.121307632093187	0.00151271741156944	0.00330095905371641	0.0572058731350958	0.0205461545451909	0.0513414716540034	0.0384874550824297	0.0348793987713311	0.040146228401081	0.0287403263636362	0.00643517119479509	0.0540443963894404	0.0193436404548712	0.0486785923467791	0.137560236733603	0.0144315442168184
ASCL1	0.0824619480247112	0.116934064922075	0.0644382857398962	0.103382235784148	0.0884912808638695	0.0248763251848135	0.00195425386936454	0.00249032812226657	0.0267402199451018	0.012316346827119	0.0683352686030808	0.0721796570072052	0.0299347136936101	0.10292195776159	0.0533336298213697	0.019357192359619	0.0931931359137204	0.025438975400996	0.113738477707132	0.147370346921196	0.0198542104562648
ATF1	0.0460379122084537	0.0682922233177909	0.0627275437742459	0.0645694365756185	0.0880127040843434	0.120689199774557	0.000632205586041601	0.00418997558507572	0.00452563012618656	0.00563368161439648	0.0236361338157526	0.0127209219108383	0.0106265299876871	0.0199464835751855	0.0213792216391908	0.00213785967360802	0.0338760515738497	0.00776165606357881	0.0838117469653992	0.0472071308853178	0.00366416682754767
ATF3	0.110588679960594	0.188246247458232	0.0857119144307824	0.108956336971707	0.0863685582302839	0.0343400923628985	0.00155489594994229	0.00411342008554716	0.0309664254419683	0.0151565828402817	0.100060721030589	0.0586465822760642	0.0274468376080321	0.0736932301286837	0.0323496395217722	0.0140950030394108	0.0905791900997173	0.0191465660481767	0.110661396794963	0.176098206219346	0.0167355039067716
ATF4	0.102814207298648	0.190094853402251	0.0790927838288937	0.104929703656581	0.088650333079656	0.0274913424854727	0.00146441150533605	0.0040347236138063	0.0324516447394196	0.0155926667879227	0.105371928584493	0.0538979592137674	0.0278150627251433	0.0746821916415893	0.0308826614388403	0.0149832808642493	0.0838075576854813	0.0157744854921122	0.125391948124941	0.18100637418542	0.0176752885955486
ATF6	0.0944639272296546	0.171671319078243	0.0616550235243428	0.0878041262703374	0.0657533605968246	0.0614325730373909	0.000983090708153833	0.00317568021733594	0.0339122802475028	0.0166423272238067	0.0425418844740424	0.0574377252239914	0.0269916965693964	0.0527806350074048	0.0246444582116009	0.00691263184808399	0.0857003069712448	0.0228579508743486	0.0715397350003675	0.120926430541823	0.0077785446518186
ATF6B	0.0255659525378372	0.014748073186704	0.00960348954935053	0.00801991614387443	0.0192375690216919	0.00640229143532489	0.0170754435052276	0.00217605183378722	0.0035332989937632	0.00428147365774589	0.0117465608613512	0.0166449194008181	0.00441878595737222	0.00669454074043152	0.0065083156143374	0.00141116524437757	0.00945363310785596	0.00131995210415325	0.0165575966877384	0.0335912037462976	0.00498381694904126
ATF7	0.11202266216362	0.210840366261563	0.0724444180006156	0.103299414748084	0.0835679912946212	0.0444782973613713	0.00224022598593188	0.00421624626351635	0.0309975209242165	0.0173158846564051	0.0724106300832257	0.0759193481491384	0.0420561052873775	0.0824224541752047	0.0356765509479569	0.015133904398679	0.0878928269969221	0.0264746643741275	0.0807491427662697	0.157128343474418	0.0136404932521299
ATOH8	0.118470925847477	0.227147404419155	0.0980348601462323	0.0856332110126289	0.0748593917287047	0.0467515916484245	0.000656158931416351	0.00218250547926291	0.0195349382046915	0.0108142565963739	0.0468282474482028	0.0623640524589322	0.030037470920417	0.0191911477891402	0.0150893563018076	0.00152816093749886	0.051836384422475	0.00211221114233562	0.0306591269559665	0.148028333385659	0.00492665769658807
BACH1	0.0430801652554227	0.133080536382482	0.0163714302927122	0.0844716619697589	0.0167878360101142	0.0420009501926439	0.00201448616658106	0.00140879519767989	0.0145153761267196	0.0138900179534711	0.0147645818252294	0.0117455102227926	0.03247630487811	0.0155166107621187	0.005262919334315	0.00126516148227396	0.043991136010367	0.0162365328189807	0.0270002343809935	0.0349565050212876	0.00330220012818783
BACH2	0.0857018922582151	0.174284885423514	0.065236527603857	0.0938772523918047	0.097710407633817	0.0845654731963554	0.00132144552442881	0.00408356262079645	0.0453850500111072	0.0195718373088195	0.0842415228092909	0.0556059492539733	0.0190036416312528	0.0567106643003354	0.0277555146443729	0.0102668313092833	0.0917051002997658	0.0251235437782777	0.103038882754768	0.160961172200152	0.0182916780890825
BAD	0.0886349069349496	0.217262415438743	0.070647806145686	0.115957322570202	0.095852021667467	0.0357584915824509	0.00336788754236905	0.00374362741307799	0.0327675182875544	0.0172058292682563	0.0925238289472037	0.0476978005661314	0.0315017455066849	0.0632741248730149	0.0283928018929922	0.01170473053322	0.0777992724948791	0.0162851498381246	0.0989999848481184	0.169934255131193	0.0159773404551058
BATF	0.0847012807907913	0.225223291647333	0.0649680254764038	0.123598901336354	0.0659936738240444	0.0572630727557666	0.0033559219382886	0.00345794231613139	0.0495669384943378	0.017309694845877	0.0549853794881666	0.0417758610071032	0.0343770928890835	0.0634842592271012	0.0306407556052781	0.0104424595816711	0.0901407021492177	0.0234260454004492	0.0755075634599923	0.148786004730631	0.0107325923850895
BATF3	0.122573387076082	0.204573506259843	0.105735352078863	0.128177709714335	0.0598560003197366	0.0419337666952955	0.00183554800637031	0.00432932113435014	0.0497039684056997	0.0191797949691147	0.0642949242864712	0.0516735483323557	0.0308914755206924	0.0573081619626354	0.0222975155598933	0.00891596397614502	0.113221729050612	0.0209262567320274	0.0605168671112321	0.13470910944819	0.0128626373915665
BCL3	0.116479559769882	0.242504408560642	0.0973893353694774	0.129278048817994	0.0785972818812025	0.0439218413187187	0.00192029615348133	0.00531390040793678	0.0365893315410222	0.0195574929274663	0.0761921525692112	0.0542412667193427	0.0286199449145742	0.0464228122718732	0.0239187283422316	0.00785969146798704	0.0856982347041855	0.0176528780914195	0.0753555384577121	0.156952557135034	0.0120903776626232
BCL6	0.0832942143915885	0.178243839710668	0.0533494579548313	0.0906183685908922	0.105421191130979	0.0837663154340048	0.00140455944954887	0.00429138660885031	0.0465290475769735	0.0227520555298678	0.0532285850774695	0.0628583323857682	0.0230023441076459	0.0351098497277034	0.0292680030244757	0.00295019701663746	0.0527746448116944	0.0196316649869657	0.0784101113768675	0.194696357737645	0.0161126832112347
BCLAF1	0.11971049230397	0.173904386746683	0.0864520649731766	0.0963266164231446	0.0855857049516028	0.0324641286965291	0.00162854128271628	0.00422705978710158	0.0232338534074757	0.0137436978355672	0.104056256759779	0.0609946824396705	0.0247401693576712	0.0675534727765479	0.0273774875566366	0.0127002348405086	0.0890221161255782	0.0171074428631136	0.117834521576975	0.195141823580193	0.015002818609426
BHLHE22	0.0411731714323639	0.174568765931824	0.0109513123309671	0.0623492033586255	0.0667619133500987	0.0329557210947549	0.00268216799438215	0.00136797700248392	0.0887562547925133	0.0266635413653893	0.0177189640221279	0.00604937057594124	0.0266433177470559	0.00755130924043546	0.00904649024161874	0.00075781300539246	0.140363161621752	0.03006368705856	0.0210365238696978	0.0260700828541512	0.0154249032201625
BHLHE40	0.0845663174531656	0.266843467204005	0.0816648047412725	0.17858489647672	0.067709263535401	0.0503263461997603	0.00191236074096968	0.00526314037998665	0.057087066747193	0.0256201291076315	0.0496204617571246	0.0396806429700853	0.0316410903006717	0.0399765580741954	0.0242811349984976	0.00614105196998893	0.083043333503409	0.023293971135565	0.0563388729144769	0.106604741906417	0.0138066968910066
BHLHE41	0.0655017697100362	0.135655794128915	0.0490645596109013	0.0991062676798371	0.0758315581057456	0.0800173698939047	0.00353196122555133	0.00315403657254165	0.0494263212171352	0.0151397916059589	0.0318787917428213	0.0302553949628749	0.020455920907917	0.0219247022346835	0.0139719093918865	0.00188166101468368	0.0532775874964254	0.0121174551501753	0.0396166466940188	0.117207837725626	0.0397043018998615
BPTF	0.120674739596481	0.154343298079813	0.0798171249919202	0.0803447003875949	0.0793337926514125	0.0356886930530224	0.00261842563414061	0.00464260557580642	0.0165710445047939	0.0140141118120575	0.0780383330058119	0.0614145914662054	0.0231387559428313	0.0614535576332484	0.0236319134896302	0.00931884945347972	0.0782839945044238	0.0165032598306297	0.108676230232695	0.201477851043718	0.012112988659094
