Non-classical monocyte	Classical monocyte	Inflammatory monocyte	APOE+ macrophage	LYVE1+ macrophage	AREG+ macrophage	Cycling macrophage	cDC1	cDC2	pDC	LAMP3+ DC	Mast	Megakaryocyte
AHR	0.0752679762530234	0.359512089070731	0.077406510361907	0.14091606657121	0.12371466399401	0.0442558784462855	0.0327263724737668	0.0314230047605667	0.138518053027545	0.0293344723738714	0.0238892726725197	0.118952183896745	0.0105878666106948
AHRR	0.0581417209651585	0.268526747378462	0.0527744994638402	0.0995426115353923	0.0769931920756237	0.020218626600488	0.0180225185457479	0.0120004721160176	0.0506309550173693	0.0231674421048013	0.0101049455528863	0.0632814181246323	0.0138065023339399
ARID3A	0.0785627463132113	0.322116317386582	0.0743136659049864	0.149472836720157	0.118169780242673	0.0570564264762312	0.0340052621138822	0.0333343263626169	0.14439663237979	0.0361094566643313	0.0237911038281	0.0842650101250574	0.0116240551947571
ARNT	0.0779158772076903	0.398185751874125	0.0713268818981909	0.125624468976788	0.105667878569139	0.0428584509781431	0.0194339285488409	0.0175323369501327	0.0941235332594225	0.0198770580453284	0.0157667593120687	0.0940026121929916	0.013649724233158
ARNT2	0.0534699090567663	0.324192934125749	0.0859364893269355	0.136198673564128	0.0822061338301184	0.0344158764826427	0.0278041644162904	0.0292640074456854	0.126925623041078	0.0380036918890607	0.0698933829625145	0.102895207009117	0.0105548816650618
ARNTL	0.0746067954458777	0.323788733715357	0.0731908361547162	0.135327113618314	0.115317792573186	0.0499924164205043	0.0280157781279006	0.0276063761603764	0.141813383712774	0.0312883429264846	0.0261099994185494	0.115812830447197	0.0086677872036669
ARNTL2	0.0788325973419395	0.377783261736615	0.094262230390262	0.152814122333193	0.0911537080186431	0.04049109264063	0.0331262678881059	0.0383417357693053	0.139066207879211	0.01994374529514	0.0402476344004404	0.0896934507381656	0.0105389792343108
ASCL1	0.0250912801461133	0.0809765263847715	0.032378589048068	0.0368576909926422	0.051190015336662	0.0179474257063009	0.00930727979636115	0.0176142535788774	0.0362078121597178	0.0169570638601056	0.02287682943975	0.04329065938595	0.00421490560421056
ASPSCR1	0.00110805245818268	0.00552553944049772	0.0035225072213293	0.00495833930226453	0.0112511194609487	0.00174231392924262	0.000646973343955914	0.00010073317462056	0.00447070823864393	0.00538222631169849	0	0.00241509280345831	-8.88178419700125e-16
ATF1	0.0697713324430648	0.340855538779616	0.0845549199633384	0.145300194161597	0.103527835822186	0.0447826036719293	0.0318987547407792	0.0322503342084202	0.139099120627693	0.0277353383301494	0.028271296802894	0.129742546610986	0.0111550987844657
ATF3	0.0746386075771593	0.339642435098081	0.0915619514418693	0.170607618916505	0.124722063916229	0.0463361109286222	0.0367785121657886	0.0322361951968094	0.146723636689167	0.024716854635098	0.0254157369677747	0.102853051868216	0.00965813918870562
ATF4	0.0790493228473799	0.369790531685343	0.0863895756840342	0.145385145348633	0.102618124986062	0.0413647094780939	0.0338267426954509	0.0350886195502218	0.143511872965626	0.0273180558738851	0.0291413740456986	0.112469090906866	0.0115115749488174
ATF5	0.0758036132000959	0.314573267350121	0.0968762185244985	0.162010599578475	0.14775507056664	0.0357045578599501	0.0389807522163362	0.0343483204388385	0.146354948100049	0.0253928139481352	0.0307155839432303	0.0934086215979191	0.00901612621347803
ATF6	0.0783463135101986	0.37547409082896	0.0859931400837073	0.140395352394709	0.131372563249623	0.0530619321872077	0.0245932891771313	0.0215604711671946	0.11332947409376	0.0217624321536986	0.0217325507295885	0.0876160896692214	0.00930398072831307
ATF6B	0.0634425533297779	0.226995922153547	0.0421167751016529	0.0769314833340906	0.0932785206997936	0.0322715102841232	0.0132872945210094	0.0255170208811786	0.0719234049592361	0.01610071424167	0.00378986699429185	0.0154886746326893	0.00513856418943082
ATF7	0.0692201967094895	0.255373816225386	0.100890553551664	0.124629432199713	0.0805438458898394	0.0404370878367386	0.0278706633307599	0.0259530686361988	0.114748841599963	0.0138718163883498	0.0197340278608303	0.0317419552470225	0.00490030860310375
BACH1	0.0837648430488798	0.409919858044082	0.0865235761474081	0.114914589368259	0.110179869287139	0.0392342760659845	0.0243295279935256	0.0255163068431489	0.122796547295776	0.0236044816123814	0.0250414709389144	0.0974807663397349	0.00833167815402369
BACH2	0.0286509612497038	0.17007181955676	0.0726618408265923	0.133492500216845	0.0761587345776313	0.02995354725305	0.0340709485766767	0.0366376205106332	0.146564425515913	0.0218242664307116	0.0630518812821452	0.110503915013559	0.0224931030797151
BATF	0.0710762736537933	0.343650784077588	0.121254631933345	0.156332275655766	0.0983496748111674	0.0389216232657857	0.0325435077139039	0.0320971913075873	0.140315506342102	0.0244953146409206	0.0342005032484988	0.0980192213278468	0.00946878692332798
BATF3	0.0398557606393446	0.186961432246682	0.0618924672141516	0.126707849812301	0.0425715839607316	0.0338862737738815	0.0338631672533325	0.0907081552300877	0.100124400298977	0.00266831910178911	0.0105759544248744	0.0368016334622671	0.00741522860906574
BCL11A	0.0784336994821347	0.357987732610026	0.0892838223541021	0.142770451441544	0.10689085805418	0.0416293340963688	0.0332473350847264	0.0317401128213776	0.14625807003409	0.0542952536761032	0.0275724680290296	0.101625281292707	0.00999680192820973
