Neuronal/Branch A	Neuronal/Branch B	Neuroblast	Cycling ENCC/glia	ENCC/glia progenitor	Differentiating glia	Fetal glia 1	Fetal glia 2	Fetal glia 3	Adult glia
AR	0.0388239887677702	0.0379845412820213	0.0144340955315874	0.0323803330722874	0.0791382818180184	0.0917547749771281	0.0205017154057608	0.0496171535202335	0.0797356658201259	0.0776152243279739
ARG2	0.0312022541446579	0.0399789618882288	0.0118879785982542	0.00759050423360785	0.0281975864407672	0.0161833618570705	0.0153209178306047	0.0177243177752073	0.0311651276279763	0.0181897910870096
ARID3A	0.0491659343060555	0.0507400128463176	0.0234474404342239	0.0156779802878546	0.0293264441314249	0.00747744810047457	0.00503767088767859	0.00600212568499903	0.00531306001141951	0.00688339766159707
ARNTL2	0.0711051412340669	0.0550046001193522	0.0177055874168285	0.130404084004197	0.181536808402026	0.0648496701719908	0.0222417911687529	0.0636123196518896	0.0719603080454104	0.130989926921481
ASAP3	0.133255889463269	0.119556770659229	0.0254846219319701	0.104218881793023	0.146440762004675	0.0874171150367447	0.028101769982416	0.0530902667675404	0.0833988705278723	0.126576718671967
ASCL1	0.105283828591329	0.143230032709038	0.0647288780685917	0.134714611907805	0.224143030843631	0.0780577378999807	0.0286196852102132	0.0468195638451161	0.113129703524299	0.129333355355339
ASCL2	0.185785904107548	0.198384535925916	0.040239186163985	0.0266903452704774	0.0258531742907755	0.00769480239645859	0.00842402672863873	0.00781160450061114	0.0178381202546821	0.0331299852759245
ATF1	0.105790292755329	0.106002013909383	0.0293121571834368	0.0848128300304581	0.157812278488611	0.144176129505787	0.0553961293129609	0.0989396344867071	0.0945185896225857	0.257848343092893
ATF2	0.184361697438978	0.163733875419457	0.0399499183017078	0.138124426832429	0.202110974470158	0.103935835248021	0.0469582448242648	0.0662200533303168	0.105626258809564	0.175118871062072
ATF3	0.12694971899466	0.11982880068379	0.0313579575803362	0.142167091420483	0.19066315613763	0.12282637537733	0.0611720872750631	0.0761586854427889	0.107072969971246	0.257366819586535
ATF4	0.141186411992222	0.13562640155725	0.0348493226530051	0.141204309977081	0.201212366326895	0.110988989319277	0.0575505521690364	0.0700976727975321	0.102187767737042	0.238778493787649
ATF5	0.174289034502309	0.155232938293566	0.0257282275151399	0.0861535247211516	0.150602287107357	0.101384349504784	0.056741412936494	0.071721578542332	0.0859887166551524	0.217522872422691
ATF6	0.180404112749192	0.195098484967256	0.0315196894254475	0.0960397951890571	0.157804692461032	0.0875038755019991	0.0421297054353289	0.068741812605312	0.105938845206041	0.203521068894795
