hgnc_symbol	ensembl_gene_id	gene_biotype	chromosome_name	start_position	end_position	description
ABCB10	ENSG00000135776	protein_coding	1	229516582	229558707	ATP binding cassette subfamily B member 10 [Source:HGNC Symbol;Acc:HGNC:41]
ACSM1	ENSG00000166743	protein_coding	16	20623235	20698890	acyl-CoA synthetase medium chain family member 1 [Source:HGNC Symbol;Acc:HGNC:18049]
ACSM2A	ENSG00000183747	protein_coding	16	20451461	20487669	acyl-CoA synthetase medium chain family member 2A [Source:HGNC Symbol;Acc:HGNC:32017]
ACSM2B	ENSG00000066813	protein_coding	16	20536226	20576427	acyl-CoA synthetase medium chain family member 2B [Source:HGNC Symbol;Acc:HGNC:30931]
ACSM5	ENSG00000183549	protein_coding	16	20409534	20441336	acyl-CoA synthetase medium chain family member 5 [Source:HGNC Symbol;Acc:HGNC:26060]
ACSM6	ENSG00000173124	protein_coding	10	95194200	95228928	acyl-CoA synthetase medium chain family member 6 [Source:HGNC Symbol;Acc:HGNC:31665]
ADAM10	ENSG00000137845	protein_coding	15	58588809	58749791	ADAM metallopeptidase domain 10 [Source:HGNC Symbol;Acc:HGNC:188]
ADAMTS1	ENSG00000154734	protein_coding	21	26835755	26845409	ADAM metallopeptidase with thrombospondin type 1 motif 1 [Source:HGNC Symbol;Acc:HGNC:217]
ADAMTS5	ENSG00000154736	protein_coding	21	26917922	26967088	ADAM metallopeptidase with thrombospondin type 1 motif 5 [Source:HGNC Symbol;Acc:HGNC:221]
AKIRIN2	ENSG00000135334	protein_coding	6	87674860	87702233	akirin 2 [Source:HGNC Symbol;Acc:HGNC:21407]
ANKRD65	ENSG00000235098	protein_coding	1	1418420	1421769	ankyrin repeat domain 65 [Source:HGNC Symbol;Acc:HGNC:42950]
ANXA3	ENSG00000138772	protein_coding	4	78551747	78610451	annexin A3 [Source:HGNC Symbol;Acc:HGNC:541]
APRT	ENSG00000198931	protein_coding	16	88809339	88811937	adenine phosphoribosyltransferase [Source:HGNC Symbol;Acc:HGNC:626]
ATAD3A	ENSG00000197785	protein_coding	1	1512162	1534685	ATPase family AAA domain containing 3A [Source:HGNC Symbol;Acc:HGNC:25567]
ATAD3B	ENSG00000160072	protein_coding	1	1471765	1497848	ATPase family AAA domain containing 3B [Source:HGNC Symbol;Acc:HGNC:24007]
