hgnc_symbol	ensembl_gene_id	gene_biotype	chromosome_name	start_position	end_position	description
AAMP	ENSG00000127837	protein_coding	2	218264129	218270178	angio associated migratory cell protein 
ACTA2	ENSG00000107796	protein_coding	10	88935074	88991339	actin alpha 2, smooth muscle 
ADAM30	ENSG00000134249	protein_coding	1	119893533	119896515	ADAM metallopeptidase domain 30 
ADCY3	ENSG00000138031	protein_coding	2	24819169	24920237	adenylate cyclase 3 
ADCY7	ENSG00000121281	protein_coding	16	50246137	50318135	adenylate cyclase 7 
AHR	ENSG00000106546	protein_coding	7	16916359	17346152	aryl hydrocarbon receptor 
AKAP11	ENSG00000023516	protein_coding	13	42272152	42323261	A-kinase anchoring protein 11 
ALK	ENSG00000171094	protein_coding	2	29192774	29921586	ALK receptor tyrosine kinase 
AMZ1	ENSG00000174945	protein_coding	7	2679522	2775500	archaelysin family metallopeptidase 1 
ANKRD55	ENSG00000164512	protein_coding	5	56099680	56233330	ankyrin repeat domain 55 
ANO6	ENSG00000177119	protein_coding	12	45215987	45482280	anoctamin 6 
ANTXR2	ENSG00000163297	protein_coding	4	79901146	80125454	ANTXR cell adhesion molecule 2 
APEH	ENSG00000164062	protein_coding	3	49674014	49683971	acylaminoacyl-peptide hydrolase 
ARL14	ENSG00000179674	protein_coding	3	160677160	160678448	ADP ribosylation factor like GTPase 14 
ARSB	ENSG00000113273	protein_coding	5	78777209	78986087	arylsulfatase B 
ASAP2	ENSG00000151693	protein_coding	2	9206765	9405683	ArfGAP with SH3 domain, ankyrin repeat and PH domain 2 
ATG16L1	ENSG00000085978	protein_coding	2	233210051	233295674	autophagy related 16 like 1 
ATOH8	ENSG00000168874	protein_coding	2	85751344	85791383	atonal bHLH transcription factor 8 
AUH	ENSG00000148090	protein_coding	9	91213815	91361918	AU RNA binding methylglutaconyl-CoA hydratase 
B3GNT2	ENSG00000170340	protein_coding	2	62196115	62224731	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 2 
BACH2	ENSG00000112182	protein_coding	6	89926528	90296843	BTB domain and CNC homolog 2 
BANK1	ENSG00000153064	protein_coding	4	101411286	102074812	B cell scaffold protein with ankyrin repeats 1 
BLID	ENSG00000259571	protein_coding	11	122115340	122116215	BH3-like motif containing, cell death inducer 
BOK	ENSG00000176720	protein_coding	2	241551424	241574131	BCL2 family apoptosis regulator BOK 
BRD7	ENSG00000166164	protein_coding	16	50313487	50368988	bromodomain containing 7 
BRMS1L	ENSG00000100916	protein_coding	14	35826338	35932325	BRMS1 like transcriptional repressor 
BTBD8	ENSG00000189195	protein_coding	1	92080305	92184725	BTB domain containing 8 
BTG3	ENSG00000154640	protein_coding	21	17593653	17612945	BTG anti-proliferation factor 3 
C17orf67	ENSG00000214226	protein_coding	17	56791913	56838773	chromosome 17 open reading frame 67 
C1orf141	ENSG00000203963	protein_coding	1	67092165	67231853	chromosome 1 open reading frame 141 
C3orf49	ENSG00000163632	protein_coding	3	63819299	63848636	chromosome 3 open reading frame 49 
C7orf33	ENSG00000170279	protein_coding	7	148590766	148615860	chromosome 7 open reading frame 33 
CACNA1S	ENSG00000081248	protein_coding	1	201039512	201112451	calcium voltage-gated channel subunit alpha1 S 
CACNB2	ENSG00000165995	protein_coding	10	18140424	18543557	calcium voltage-gated channel auxiliary subunit beta 2 
CAMK2A	ENSG00000070808	protein_coding	5	150219491	150290093	calcium/calmodulin dependent protein kinase II alpha 
CAMK2G	ENSG00000148660	protein_coding	10	73812501	73874591	calcium/calmodulin dependent protein kinase II gamma 
CAMKV	ENSG00000164076	protein_coding	3	49857988	49869935	CaM kinase like vesicle associated 
CARD9	ENSG00000187796	protein_coding	9	136363956	136373681	caspase recruitment domain family member 9 
CARS1	ENSG00000110619	protein_coding	11	3000922	3057613	cysteinyl-tRNA synthetase 1 
CAVIN1	ENSG00000177469	protein_coding	17	42402449	42423256	caveolae associated protein 1 
CCDC122	ENSG00000151773	protein_coding	13	43823909	43879740	coiled-coil domain containing 122 
CCDC178	ENSG00000166960	protein_coding	18	32937402	33441101	coiled-coil domain containing 178 
CCDC88B	ENSG00000168071	protein_coding	11	64340204	64357534	coiled-coil domain containing 88B 
CCL2	ENSG00000108691	protein_coding	17	34255274	34257208	C-C motif chemokine ligand 2 
CCL20	ENSG00000115009	protein_coding	2	227805739	227817564	C-C motif chemokine ligand 20 
CCND3	ENSG00000112576	protein_coding	6	41934934	42050357	cyclin D3 
CCRL2	ENSG00000121797	protein_coding	3	46407166	46412997	C-C motif chemokine receptor like 2 
CD226	ENSG00000150637	protein_coding	18	69831158	69961803	CD226 molecule 
CD28	ENSG00000178562	protein_coding	2	203706475	203738912	CD28 molecule 
CD40	ENSG00000101017	protein_coding	20	46118271	46129863	CD40 molecule 
CD6	ENSG00000013725	protein_coding	11	60971680	61020377	CD6 molecule 
CDC123	ENSG00000151465	protein_coding	10	12195965	12250589	cell division cycle 123 
CDC37	ENSG00000105401	protein_coding	19	10391133	10420121	cell division cycle 37, HSP90 cochaperone 
CDH13	ENSG00000140945	protein_coding	16	82626965	83800640	cadherin 13 
CDKAL1	ENSG00000145996	protein_coding	6	20534457	21232404	CDK5 regulatory subunit associated protein 1 like 1 
CDKN2A	ENSG00000147889	protein_coding	9	21967752	21995301	cyclin dependent kinase inhibitor 2A 
CEBPA	ENSG00000245848	protein_coding	19	33299934	33302534	CCAAT enhancer binding protein alpha 
CEBPB	ENSG00000172216	protein_coding	20	50190830	50192668	CCAAT enhancer binding protein beta 
CEP43	ENSG00000213066	protein_coding	6	166999317	167094789	centrosomal protein 43 
CEP72	ENSG00000112877	protein_coding	5	612340	667168	centrosomal protein 72 
CIITA	ENSG00000179583	protein_coding	16	10866222	10943021	class II major histocompatibility complex transactivator 
CNTNAP2	ENSG00000174469	protein_coding	7	146116002	148420998	contactin associated protein 2 
CPEB4	ENSG00000113742	protein_coding	5	173888349	173961980	cytoplasmic polyadenylation element binding protein 4 
CREM	ENSG00000095794	protein_coding	10	35126791	35212958	cAMP responsive element modulator 
CUL1	ENSG00000055130	protein_coding	7	148697914	148801110	cullin 1 
CUL2	ENSG00000108094	protein_coding	10	35008504	35127006	cullin 2 
CXCR2	ENSG00000180871	protein_coding	2	218125289	218137251	C-X-C motif chemokine receptor 2 
CYLD	ENSG00000083799	protein_coding	16	50742050	50801935	CYLD lysine 63 deubiquitinase 
CYTH1	ENSG00000108669	protein_coding	17	78674048	78782297	cytohesin 1 
DAP	ENSG00000112977	protein_coding	5	10679230	10761234	death associated protein 
DDX56	ENSG00000136271	protein_coding	7	44565804	44575051	DEAD-box helicase 56 
DENND1B	ENSG00000213047	protein_coding	1	197504748	197775696	DENN domain containing 1B 
DLD	ENSG00000091140	protein_coding	7	107891162	107931730	dihydrolipoamide dehydrogenase 
DLGAP1	ENSG00000170579	protein_coding	18	3496032	4455307	DLG associated protein 1 
DNAJC27	ENSG00000115137	protein_coding	2	24943636	24972094	DnaJ heat shock protein family (Hsp40) member C27 
DNER	ENSG00000187957	protein_coding	2	229357629	229714555	delta/notch like EGF repeat containing 
DNMT3A	ENSG00000119772	protein_coding	2	25227855	25342590	DNA methyltransferase 3 alpha 
DUSP5	ENSG00000138166	protein_coding	10	110497907	110511533	dual specificity phosphatase 5 
EDNRB	ENSG00000136160	protein_coding	13	77895481	77975529	endothelin receptor type B 
EGR2	ENSG00000122877	protein_coding	10	62811996	62819167	early growth response 2 
ELP3	ENSG00000134014	protein_coding	8	28089673	28191156	elongator acetyltransferase complex subunit 3 
ENC1	ENSG00000171617	protein_coding	5	74627406	74641424	ectodermal-neural cortex 1 
ERAP1	ENSG00000164307	protein_coding	5	96760810	96808100	endoplasmic reticulum aminopeptidase 1 
ERAP2	ENSG00000164308	protein_coding	5	96875986	96919703	endoplasmic reticulum aminopeptidase 2 
ERRFI1	ENSG00000116285	protein_coding	1	8004404	8026309	ERBB receptor feedback inhibitor 1 
ETS1	ENSG00000134954	protein_coding	11	128458761	128587558	ETS proto-oncogene 1, transcription factor 
FAM118A	ENSG00000100376	protein_coding	22	45308968	45341955	family with sequence similarity 118 member A 
FAM171B	ENSG00000144369	protein_coding	2	186694060	186765959	family with sequence similarity 171 member B 
FAM53B	ENSG00000189319	protein_coding	10	124619292	124744378	family with sequence similarity 53 member B 
FAP	ENSG00000078098	protein_coding	2	162170684	162245151	fibroblast activation protein alpha 
FAS	ENSG00000026103	protein_coding	10	88953813	89029605	Fas cell surface death receptor 
FCGR2A	ENSG00000143226	protein_coding	1	161505430	161524013	Fc fragment of IgG receptor IIa 
FERMT1	ENSG00000101311	protein_coding	20	6074845	6123030	FERM domain containing kindlin 1 
FIGNL1	ENSG00000132436	protein_coding	7	50444128	50542535	fidgetin like 1 
FOS	ENSG00000170345	protein_coding	14	75278826	75282230	Fos proto-oncogene, AP-1 transcription factor subunit 
FOSL2	ENSG00000075426	protein_coding	2	28392448	28417317	FOS like 2, AP-1 transcription factor subunit 
FOXO1	ENSG00000150907	protein_coding	13	40555667	40666641	forkhead box O1 
FOXP1	ENSG00000114861	protein_coding	3	70954693	71583978	forkhead box P1 
FRAS1	ENSG00000138759	protein_coding	4	78057323	78544269	Fraser extracellular matrix complex subunit 1 
FUT2	ENSG00000176920	protein_coding	19	48695971	48705951	fucosyltransferase 2 
FZD8	ENSG00000177283	protein_coding	10	35638247	35642296	frizzled class receptor 8 
GABRA2	ENSG00000151834	protein_coding	4	46243548	46475230	gamma-aminobutyric acid type A receptor subunit alpha2 
GAL3ST2	ENSG00000154252	protein_coding	2	241776822	241804287	galactose-3-O-sulfotransferase 2 
GALC	ENSG00000054983	protein_coding	14	87837820	87993665	galactosylceramidase 
GCKR	ENSG00000084734	protein_coding	2	27496839	27523684	glucokinase regulator 
GGTLC1	ENSG00000149435	protein_coding	20	23985050	23988779	gamma-glutamyltransferase light chain 1 
GIPC2	ENSG00000137960	protein_coding	1	77979542	78138444	GIPC PDZ domain containing family member 2 
GNA12	ENSG00000146535	protein_coding	7	2728105	2844308	G protein subunit alpha 12 
GPC5	ENSG00000179399	protein_coding	13	91398621	92873682	glypican 5 
GPR18	ENSG00000125245	protein_coding	13	99254732	99261744	G protein-coupled receptor 18 
GPR35	ENSG00000178623	protein_coding	2	240605430	240633159	G protein-coupled receptor 35 
GPR65	ENSG00000140030	protein_coding	14	88005135	88014811	G protein-coupled receptor 65 
